,Gas (corrected)
2020-03-18 13:30:00,0.6393979963228175
2020-03-18 14:00:00,0.6536967465523774
2020-03-18 14:30:00,0.6758580256528226
2020-03-18 15:00:00,0.78826318983689
2020-03-18 15:30:00,0.9099139796393669
2020-03-18 16:00:00,1.1530234570910063
2020-03-18 16:30:00,1.33633622476349
2020-03-18 17:00:00,1.452928727774647
2020-03-18 17:30:00,1.4225598833217177
2020-03-18 18:00:00,1.4749266574208342
2020-03-18 18:30:00,1.417604325782084
2020-03-18 19:00:00,1.34106634449582
2020-03-18 19:30:00,1.2467126627185585
2020-03-18 20:00:00,1.1560289078418944
2020-03-18 20:30:00,1.0431319722067958
2020-03-18 21:00:00,0.9094666828396535
2020-03-18 21:30:00,0.763896774712721
2020-03-18 22:00:00,0.5799237275639044
2020-03-18 22:30:00,0.4242420277057095
2020-03-18 23:00:00,0.31850039945704134
2020-03-18 23:30:00,0.2602122453370453
2020-03-19 00:00:00,0.22559694419813864
2020-03-19 00:30:00,0.20488246565050933
2020-03-19 01:00:00,0.19853683975639375
2020-03-19 01:30:00,0.1948057317781744
2020-03-19 02:00:00,0.1973380150263895
2020-03-19 02:30:00,0.1988616663410688
2020-03-19 03:00:00,0.2147401656974583
2020-03-19 03:30:00,0.2256345769482094
2020-03-19 04:00:00,0.2719873863025778
2020-03-19 04:30:00,0.35119673655557604
2020-03-19 05:00:00,0.5557027735261401
2020-03-19 05:30:00,0.8269239857990798
2020-03-19 06:00:00,1.2678466374609711
2020-03-19 06:30:00,1.520908898896602
2020-03-19 07:00:00,1.523003756346241
2020-03-19 07:30:00,1.3590472961552564
2020-03-19 08:00:00,1.1449552177899223
2020-03-19 08:30:00,0.9358603467069887
2020-03-19 09:00:00,0.811368415684059
2020-03-19 09:30:00,0.7400020055398371
2020-03-19 10:00:00,0.7015132750968041
2020-03-19 10:30:00,0.6755466099832477
2020-03-19 11:00:00,0.6718157521601158
2020-03-19 11:30:00,0.670240232857968
2020-03-19 12:00:00,0.7255253394940303
2020-03-19 12:30:00,0.7042226433489178
2020-03-19 13:00:00,0.6960005741244917
2020-03-19 13:30:00,0.6962031885907016
2020-03-19 14:00:00,0.7097744292488226
2020-03-19 14:30:00,0.743838387748239
2020-03-19 15:00:00,0.8692086683874564
2020-03-19 15:30:00,0.9906888210117333
2020-03-19 16:00:00,1.2555971502041523
2020-03-19 16:30:00,1.453544698067884
2020-03-19 17:00:00,1.5962311108950173
2020-03-19 17:30:00,1.5870073436094305
2020-03-19 18:00:00,1.6438671860065464
2020-03-19 18:30:00,1.581782477754677
2020-03-19 19:00:00,1.4960575984121036
2020-03-19 19:30:00,1.3999842262722264
2020-03-19 20:00:00,1.286250683277895
2020-03-19 20:30:00,1.1699455086371102
2020-03-19 21:00:00,1.0088125775358328
2020-03-19 21:30:00,0.8513519539380918
2020-03-19 22:00:00,0.6466020405301603
2020-03-19 22:30:00,0.4676375420905429
2020-03-19 23:00:00,0.35521618174226344
2020-03-19 23:30:00,0.2887369317616243
2020-03-20 00:00:00,0.24917187025874651
2020-03-20 00:30:00,0.23227942855064637
2020-03-20 01:00:00,0.22575987126475253
2020-03-20 01:30:00,0.22451208665080222
2020-03-20 02:00:00,0.22572462947504304
2020-03-20 02:30:00,0.2303337396998821
2020-03-20 03:00:00,0.24373542964652498
2020-03-20 03:30:00,0.2623852262457444
2020-03-20 04:00:00,0.3092745352166738
2020-03-20 04:30:00,0.39182260496395643
2020-03-20 05:00:00,0.5985702711125849
2020-03-20 05:30:00,0.8738780755562547
2020-03-20 06:00:00,1.324073640339963
2020-03-20 06:30:00,1.5943447541072397
2020-03-20 07:00:00,1.6021731868743512
2020-03-20 07:30:00,1.428140135530468
2020-03-20 08:00:00,1.1935908478925636
2020-03-20 08:30:00,0.9705476395930465
2020-03-20 09:00:00,0.826434846855294
2020-03-20 09:30:00,0.7471919689232571
2020-03-20 10:00:00,0.6958265216095135
2020-03-20 10:30:00,0.6682484689171785
2020-03-20 11:00:00,0.6570773291055312
2020-03-20 11:30:00,0.6532948470741977
2020-03-20 12:00:00,0.7102689324054751
2020-03-20 12:30:00,0.6862938643038105
2020-03-20 13:00:00,0.6815294301839421
2020-03-20 13:30:00,0.6788448387073489
2020-03-20 14:00:00,0.6959276514325784
2020-03-20 14:30:00,0.7247328470198562
2020-03-20 15:00:00,0.8315699984375661
2020-03-20 15:30:00,0.957275315259796
2020-03-20 16:00:00,1.2225043072310708
2020-03-20 16:30:00,1.4207941823213832
2020-03-20 17:00:00,1.5610757740713221
2020-03-20 17:30:00,1.588077538759369
2020-03-20 18:00:00,1.6707127316664487
2020-03-20 18:30:00,1.6333191151999855
2020-03-20 19:00:00,1.5486191424052262
2020-03-20 19:30:00,1.447958056758989
2020-03-20 20:00:00,1.3468381815887611
2020-03-20 20:30:00,1.240199678569919
2020-03-20 21:00:00,1.0957187498106733
2020-03-20 21:30:00,0.9463978112628179
2020-03-20 22:00:00,0.7350250403715044
2020-03-20 22:30:00,0.5539612366420964
2020-03-20 23:00:00,0.43128296743531014
2020-03-20 23:30:00,0.35624342602854286
2020-03-21 00:00:00,0.3078847079364268
2020-03-21 00:30:00,0.2808348305807412
2020-03-21 01:00:00,0.2687442163119204
2020-03-21 01:30:00,0.2612307061014854
2020-03-21 02:00:00,0.26074384715358884
2020-03-21 02:30:00,0.2615811268249939
2020-03-21 03:00:00,0.2734826463714308
2020-03-21 03:30:00,0.2848539963111478
2020-03-21 04:00:00,0.3261191155998824
2020-03-21 04:30:00,0.37945619883236203
2020-03-21 05:00:00,0.5223801047806071
2020-03-21 05:30:00,0.7001213694068383
2020-03-21 06:00:00,1.0412070538380716
2020-03-21 06:30:00,1.321904991308447
2020-03-21 07:00:00,1.511241685463772
2020-03-21 07:30:00,1.4831671498750296
2020-03-21 08:00:00,1.399970785921278
2020-03-21 08:30:00,1.239805130003342
2020-03-21 09:00:00,1.0886476913722618
2020-03-21 09:30:00,0.9724780075709938
2020-03-21 10:00:00,0.8659106841730414
2020-03-21 10:30:00,0.80775166484313
2020-03-21 11:00:00,0.7645355395971065
2020-03-21 11:30:00,0.7504894945710343
2020-03-21 12:00:00,0.789776838551928
2020-03-21 12:30:00,0.7437406063354248
2020-03-21 13:00:00,0.721265000339084
2020-03-21 13:30:00,0.7157367021329998
2020-03-21 14:00:00,0.7327403537545543
2020-03-21 14:30:00,0.7679130541952595
2020-03-21 15:00:00,0.872618177784703
2020-03-21 15:30:00,0.9918768819834536
2020-03-21 16:00:00,1.285462766134582
2020-03-21 16:30:00,1.4873989885843186
2020-03-21 17:00:00,1.6481963363884893
2020-03-21 17:30:00,1.668776990785944
2020-03-21 18:00:00,1.7098661588001574
2020-03-21 18:30:00,1.6442533364904586
2020-03-21 19:00:00,1.5529864130936115
2020-03-21 19:30:00,1.4384644830336457
2020-03-21 20:00:00,1.33058168571994
2020-03-21 20:30:00,1.2275984071744381
2020-03-21 21:00:00,1.078875510517104
2020-03-21 21:30:00,0.9334534739954014
2020-03-21 22:00:00,0.7290805907809529
2020-03-21 22:30:00,0.5653053043471518
2020-03-21 23:00:00,0.4235507177997328
2020-03-21 23:30:00,0.3462170261202626
2020-03-22 00:00:00,0.30721083240633
2020-03-22 00:30:00,0.278725683909652
2020-03-22 01:00:00,0.2702979013286087
2020-03-22 01:30:00,0.2616348544394294
2020-03-22 02:00:00,0.26314244983225765
2020-03-22 02:30:00,0.26669297731272995
2020-03-22 03:00:00,0.27754768698028737
2020-03-22 03:30:00,0.29321035159467673
2020-03-22 04:00:00,0.3298489026577874
2020-03-22 04:30:00,0.3831603483523032
2020-03-22 05:00:00,0.519180847212775
2020-03-22 05:30:00,0.6932775134038701
2020-03-22 06:00:00,1.0359895386926012
2020-03-22 06:30:00,1.3123410853235387
2020-03-22 07:00:00,1.5167110254352938
2020-03-22 07:30:00,1.5019245647521227
2020-03-22 08:00:00,1.4356788338005917
2020-03-22 08:30:00,1.2862941038200448
2020-03-22 09:00:00,1.1378350100399286
2020-03-22 09:30:00,1.01007497738256
2020-03-22 10:00:00,0.9029623499791876
2020-03-22 10:30:00,0.8195227705153135
2020-03-22 11:00:00,0.7680487343724246
2020-03-22 11:30:00,0.7405994604111465
2020-03-22 12:00:00,0.7621752462158805
2020-03-22 12:30:00,0.6989588874514584
2020-03-22 13:00:00,0.6554666049481064
2020-03-22 13:30:00,0.6200530489645314
2020-03-22 14:00:00,0.6142009481731336
2020-03-22 14:30:00,0.6210380700682052
2020-03-22 15:00:00,0.7000508030701361
2020-03-22 15:30:00,0.7814243513839918
2020-03-22 16:00:00,1.0558688932953544
2020-03-22 16:30:00,1.2204154679349764
2020-03-22 17:00:00,1.3810804707725923
2020-03-22 17:30:00,1.4380790854800518
2020-03-22 18:00:00,1.6022623725635692
2020-03-22 18:30:00,1.599103206479743
2020-03-22 19:00:00,1.5233720306917746
2020-03-22 19:30:00,1.3940986505164685
2020-03-22 20:00:00,1.2935917492847449
2020-03-22 20:30:00,1.1691417479857096
2020-03-22 21:00:00,1.0238908348585032
2020-03-22 21:30:00,0.8755746333536416
2020-03-22 22:00:00,0.67008953243338
2020-03-22 22:30:00,0.4973032040416018
2020-03-22 23:00:00,0.36929643915351185
2020-03-22 23:30:00,0.3033075168894261
2020-03-30 00:00:00,0.3598943548371952
2020-03-30 00:30:00,0.32002857668156565
2020-03-30 01:00:00,0.3056036449276975
2020-03-30 01:30:00,0.2971492084775233
2020-03-30 02:00:00,0.29514428945126564
2020-03-30 02:30:00,0.30228211983663994
2020-03-30 03:00:00,0.3124916163277909
2020-03-30 03:30:00,0.3266174334075603
2020-03-30 04:00:00,0.37692027386652344
2020-03-30 04:30:00,0.44033884039225407
2020-03-30 05:00:00,0.6160873858800096
2020-03-30 05:30:00,0.8596765045558681
2020-03-30 06:00:00,1.2828925148008388
2020-03-30 06:30:00,1.5979330338716904
2020-03-30 07:00:00,1.7435699788584214
2020-03-30 07:30:00,1.7091735696113037
2020-03-30 08:00:00,1.614650788543713
2020-03-30 08:30:00,1.4506491346107167
2020-03-30 09:00:00,1.2990391596297484
2020-03-30 09:30:00,1.2144252176649464
2020-03-30 10:00:00,1.1583035757816893
2020-03-30 10:30:00,1.1313082291322292
2020-03-30 11:00:00,1.1125157988965482
2020-03-30 11:30:00,1.0975531957822509
2020-03-30 12:00:00,1.1367631102280258
2020-03-30 12:30:00,1.1086254016439685
2020-03-30 13:00:00,1.1014376883895167
2020-03-30 13:30:00,1.0829420103090701
2020-03-30 14:00:00,1.0665599221162454
2020-03-30 14:30:00,1.0792381277476393
2020-03-30 15:00:00,1.1500181804494116
2020-03-30 15:30:00,1.1973545199341284
2020-03-30 16:00:00,1.4081090416822246
2020-03-30 16:30:00,1.5703856657178146
2020-03-30 17:00:00,1.7024771076094911
2020-03-30 17:30:00,1.698237529713414
2020-03-30 18:00:00,1.7637872234351808
2020-03-30 18:30:00,1.7320409825761112
2020-03-30 19:00:00,1.7128360747668254
2020-03-30 19:30:00,1.6377528513763535
2020-03-30 20:00:00,1.5343522071945201
2020-03-30 20:30:00,1.3844724657766148
2020-03-30 21:00:00,1.202244957886026
2020-03-30 21:30:00,1.0281293813292027
2020-03-30 22:00:00,0.7970525026037201
2020-03-30 22:30:00,0.5885392191851664
2020-03-30 23:00:00,0.4341622164148614
2020-03-30 23:30:00,0.3474357907777503
2020-03-31 00:00:00,0.296934167272726
2020-03-31 00:30:00,0.2700425730898421
2020-03-31 01:00:00,0.259127586243826
2020-03-31 01:30:00,0.25299761848655716
2020-03-31 02:00:00,0.24999580131452398
2020-03-31 02:30:00,0.2540205895297268
2020-03-31 03:00:00,0.2691704565280673
2020-03-31 03:30:00,0.281900781081327
2020-03-31 04:00:00,0.326929789534902
2020-03-31 04:30:00,0.39313872657135707
2020-03-31 05:00:00,0.5741771578401921
2020-03-31 05:30:00,0.8240802175965332
2020-03-31 06:00:00,1.253470708651316
2020-03-31 06:30:00,1.566347779844798
2020-03-31 07:00:00,1.6679631535910275
2020-03-31 07:30:00,1.609575991891704
2020-03-31 08:00:00,1.4718943993095959
2020-03-31 08:30:00,1.2737011715945803
2020-03-31 09:00:00,1.109953729684676
2020-03-31 09:30:00,1.0367443487439374
2020-03-31 10:00:00,0.9879311407949988
2020-03-31 10:30:00,0.9547633360065665
2020-03-31 11:00:00,0.9387085304840751
2020-03-31 11:30:00,0.9302442491357708
2020-03-31 12:00:00,0.9694057180762012
2020-03-31 12:30:00,0.9420621903954366
2020-03-31 13:00:00,0.9274150748467859
2020-03-31 13:30:00,0.8942089867055827
2020-03-31 14:00:00,0.8804097607760919
2020-03-31 14:30:00,0.8719797937690995
2020-03-31 15:00:00,0.9432479415055542
2020-03-31 15:30:00,1.0059110245363994
2020-03-31 16:00:00,1.2417371962498558
2020-03-31 16:30:00,1.4271980727172235
2020-03-31 17:00:00,1.586093544046033
2020-03-31 17:30:00,1.5846707443240184
2020-03-31 18:00:00,1.6443966146564175
2020-03-31 18:30:00,1.617510535770819
2020-03-31 19:00:00,1.6074311862730766
2020-03-31 19:30:00,1.5614709870795194
2020-03-31 20:00:00,1.4670229586027854
2020-03-31 20:30:00,1.3091651509828404
2020-03-31 21:00:00,1.1479765561730764
2020-03-31 21:30:00,0.9797078617566106
2020-03-31 22:00:00,0.7510737477277984
2020-03-31 22:30:00,0.5534334460727698
2020-03-31 23:00:00,0.4128092228093518
2020-03-31 23:30:00,0.3294791195535418
2020-04-01 00:00:00,0.2858095697630029
2020-04-01 00:30:00,0.2586442086819248
2020-04-01 01:00:00,0.24847420066935053
2020-04-01 01:30:00,0.24438079156735604
2020-04-01 02:00:00,0.2433713914363742
2020-04-01 02:30:00,0.24852746425649477
